book_folder,id,display_label,title,arabic_title,preface,range,order
bukhari_bn,27,২৭,পথে আটকে পড়া ও ইহরাম অবস্থায় শিকারকারীর বিধান,كتاب المحصر,,১৮০৬ - ১৮২০,27
bukhari_bn,28,২৮,ইহরাম অবস্থায় শিকার ও অনুরূপ কিছুর বদলা,كتاب جزاء الصيد,,১৮২১ - ১৮৬৬,28
bukhari_bn,29,২৯,মদীনার ফজিলত,كتاب فضائل المدينة,,১৮৬৭ - ১৮৯০,29
bukhari_bn,30,৩০,সাওম,كتاب الصوم,,১৮৯১ - ২০০৭,30
bukhari_bn,31,৩১,তারাবীহর সালাত,كتاب صلاة التراويح,,২০০৮ - ২০১৩,31
bukhari_bn,32,৩২,লাইলাতুল কদর এর ফজিলত,كتاب فضل ليلة القدر,,২০১৪ - ২০২৪,32
bukhari_bn,33,৩৩,ইতিকাফ,كتاب الاعتكاف,,২০২৫ - ২০৪৬,33
bukhari_bn,34,৩৪,ক্রয়-বিক্রয়,كتاب البيوع,,২০৪৭ - ২২৩৮,34
bukhari_bn,35,৩৫,সলম (অগ্রিম ক্রয়-বিক্রয়),كتاب السلم,,২২৩৯ - ২২৫৬,35
bukhari_bn,36,৩৬,শুফআ,كتاب الشفعة,,২২৫৭ - ২২৫৯,36
bukhari_bn,37,৩৭,ইজারা,كتاب الإجارة,,২২৬০ - ২২৮৬,37
bukhari_bn,38,৩৮,হাওয়ালাত,كتاب الحوالات,,২২৮৭ - ২২৮৯,38
bukhari_bn,39,৩৯,যামিন হওয়া,كتاب الكفالة,,২২৯০ - ২২৯৮,39
bukhari_bn,40,৪০,ওয়াকালাহ (প্রতিনিধিত্ব),كتاب الوكالة,,২২৯৯ - ২৩১৯,40
bukhari_bn,41,৪১,চাষাবাদ,كتاب المزارعة,,২৩২০ - ২৩৫০,41
bukhari_bn,42,৪২,পানি সেচ,كتاب المساقاة,,২৩৫১ - ২৩৮৪,42
bukhari_bn,43,৪৩,"ঋণ গ্রহণ, ঋণ পরিশোধ, নিষেধাজ্ঞা আরোপ ও দেউলিয়া ঘোষণা",كتاب فى الاستقراض,,২৩৮৫ - ২৪০৯,43
bukhari_bn,44,৪৪,ঝগড়া-বিবাদ মীমাংসা,كتاب الخصومات,,২৪১০ - ২৪২৫,44
bukhari_bn,45,৪৫,পড়ে থাকা বস্তু উঠানো,كتاب فى اللقطة,,২৪২৬ - ২৪৩৯,45
bukhari_bn,46,৪৬,জুলুম ও কিসাস,كتاب المظالم,,২৪৪০ - ২৪৮২,46
bukhari_bn,47,৪৭,অংশীদারিত্ব,كتاب الشركة,,২৪৮৩ - ২৫০৭,47
bukhari_bn,48,৪৮,বন্ধক,كتاب الرهن,,২৫০৮ - ২৫১৬,48
bukhari_bn,49,৪৯,ক্রীতদাস আযাদ করা,كتاب العتق,,২৫১৭ - ২৫৫৯,49
bukhari_bn,50,৫০,মুকাতাব (চুক্তিবদ্ধ দাসের বর্ণনা),كتاب المكاتب,,২৫৬০ - ২৫৬৫,50
